date,frequencia,price
2016-11-16,2727,133.676934360103
2016-11-17,2727,134.52695269527
2016-11-18,2732,140.830527086384
2016-11-19,2733,140.913648005854
2016-11-20,2734,134.333211411851
2016-11-21,2737,134.198757763975
2016-11-22,2744,134.303935860058
2016-11-23,2746,134.980699198835
2016-11-24,2746,136.054989075018
2016-11-25,2749,141.726082211713
2016-11-26,2749,141.551109494362
2016-11-27,2752,134.953488372093
2016-11-28,2753,133.462767889575
2016-11-29,2758,132.786802030457
2016-11-30,2761,132.769286490402
2016-12-01,2767,134.153957354536
2016-12-02,2771,140.738722482858
2016-12-03,2773,140.220338983051
2016-12-04,2782,133.392882818116
2016-12-05,2784,132.813218390805
2016-12-06,2788,132.49175035868
2016-12-07,2790,132.633333333333
2016-12-08,2792,135.111389684814
2016-12-09,2793,141.562119584676
2016-12-10,2795,141.162432915921
2016-12-11,2795,133.85366726297
2016-12-12,2798,133.145818441744
2016-12-13,2799,133.232225794927
2016-12-14,2803,133.310024973243
2016-12-15,2809,134.501957992168
2016-12-16,2813,140.799146818343
2016-12-17,2815,140.840852575488
2016-12-18,2817,134.933972310969
2016-12-19,2818,134.788502484031
2016-12-20,2818,134.786373314407
2016-12-21,2819,134.708761972331
2016-12-22,2820,136.731205673759
2016-12-23,2822,142.912827781715
2016-12-24,2822,142.83734939759
2016-12-25,2829,137.974902792506
2016-12-26,2831,137.895796538326
2016-12-27,2831,137.204168138467
2016-12-28,2833,137.177197317331
2016-12-29,2835,138.045502645503
2016-12-30,2840,144.73838028169
2016-12-31,2859,145.698146204967
2017-01-01,2922,138.126967830253
2017-01-02,2776,135.572766570605
