id,host_since,tempoHost,review_scores_rating,price$,diferencaUltimoReview,binTempo
3732094,2011-10-03,5,88.0,40.0,1,host_antigo
873073,2011-07-01,5,95.0,175.0,0,host_antigo
234898,2011-09-30,5,96.0,80.0,4,host_antigo
8533375,2015-08-21,1,100.0,105.0,0,host_novo
6854019,2013-08-06,3,NULL,400.0,NULL,host_medio
8418650,2015-09-16,1,98.0,100.0,0,host_novo
3732076,2011-10-03,5,94.0,40.0,1,host_antigo
4608592,2014-11-18,2,98.0,160.0,0,host_medio
4862719,2011-07-09,5,94.0,55.0,0,host_antigo
668169,2011-08-09,5,93.0,55.0,3,host_antigo
429453,2011-09-29,5,100.0,150.0,3,host_antigo
10124808,2015-07-24,1,NULL,55.0,NULL,host_novo
7459684,2014-05-24,2,93.0,95.0,0,host_medio
5992645,2014-12-07,2,80.0,155.0,0,host_medio
7917718,2012-03-27,4,99.0,55.0,1,host_antigo
2986056,2011-10-03,5,95.0,40.0,1,host_antigo
2011193,2013-07-23,3,93.0,250.0,1,host_medio
3768626,2014-08-01,2,96.0,145.0,1,host_medio
2026794,2013-12-02,3,91.0,54.0,1,host_medio
9154294,2015-05-31,1,100.0,99.0,0,host_novo
430610,2010-07-13,6,97.0,254.0,3,host_antigo
3231850,2012-06-26,4,97.0,100.0,1,host_antigo
2976798,2012-04-03,4,99.0,65.0,0,host_antigo
703058,2012-01-15,4,99.0,150.0,3,host_antigo
7826541,2015-08-11,1,100.0,140.0,0,host_novo
240920,2011-08-09,5,97.0,45.0,3,host_antigo
6655233,2014-08-26,2,89.0,74.0,0,host_medio
9866461,2014-10-25,2,80.0,60.0,0,host_medio
7957729,2014-02-03,2,NULL,350.0,NULL,host_medio
1428687,2013-07-04,3,99.0,135.0,2,host_medio
4803403,2014-12-11,2,100.0,85.0,0,host_medio
11012,2009-04-26,7,95.0,310.0,5,host_antigo
3888924,2011-10-03,5,87.0,40.0,0,host_antigo
8842808,2015-10-11,1,NULL,215.0,NULL,host_novo
1114695,2010-07-13,6,95.0,245.0,2,host_antigo
1715582,2013-09-25,3,100.0,65.0,1,host_medio
6704734,2015-06-05,1,NULL,85.0,NULL,host_novo
8555098,2015-09-24,1,NULL,95.0,NULL,host_novo
1214316,2013-04-28,3,92.0,57.0,2,host_medio
7325455,2014-11-21,2,100.0,75.0,0,host_medio
6325685,2014-07-10,2,98.0,120.0,0,host_medio
9596,2009-04-26,7,88.0,120.0,4,host_antigo
9568491,2014-10-03,2,100.0,40.0,0,host_medio
1747184,2012-10-17,4,99.0,490.0,1,host_antigo
8653843,2015-09-09,1,100.0,50.0,0,host_novo
6727729,2013-04-12,3,96.0,200.0,0,host_medio
3888986,2011-10-03,5,100.0,40.0,0,host_antigo
4135710,2012-10-26,4,NULL,255.0,NULL,host_antigo
3652434,2014-03-04,2,97.0,95.0,1,host_medio
7667990,2015-07-09,1,80.0,160.0,0,host_novo
4047058,2013-11-16,3,95.0,55.0,1,host_medio
7163934,2015-06-14,1,100.0,85.0,0,host_novo
7717478,2014-07-17,2,NULL,325.0,NULL,host_medio
4653552,2014-11-23,2,96.0,144.0,0,host_medio
6915439,2010-11-09,6,NULL,100.0,NULL,host_antigo
506542,2011-11-16,5,95.0,115.0,3,host_antigo
4046863,2013-11-16,3,98.0,55.0,1,host_medio
3915826,2011-10-05,5,98.0,95.0,1,host_antigo
4787415,2014-04-14,2,NULL,175.0,NULL,host_medio
1602488,2013-08-30,3,93.0,95.0,2,host_medio
8459215,2015-09-18,1,NULL,100.0,NULL,host_novo
10274175,2015-07-04,1,NULL,46.0,NULL,host_novo
9167786,2011-08-11,5,80.0,50.0,0,host_antigo
5686435,2013-02-13,3,100.0,445.0,0,host_medio
7939058,2014-08-11,2,97.0,75.0,0,host_medio
